cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_JOOL_et_s,leg1_path,leg1_tof_days
7.653549043801811,7.4591616379154315,4.4064569599289785,3.052704677986453,0,0,,1420.0,"751680081.851686,874368081.851686",1420,left_cw1,751680081.8516864,874368081.8516864,left_cw1,1420.0
7.768694569582483,7.459317430636556,4.4781105952843445,2.981206835352211,0,0,,2260.0,"499392081.851686,694656081.851686",2260,left_cw1,499392081.8516864,694656081.8516865,left_cw1,2260.0
7.6612150343892935,7.46135192692865,4.471010204456739,2.9903417224719107,0,0,,1460.0,"822528081.851686,948672081.851686",1460,right_cw1,822528081.8516864,948672081.8516864,right_cw1,1460.0
7.661684390690929,7.461821283230285,4.474216656299419,2.9876046269308665,0,0,,1460.0,"734400081.851686,860544081.851686",1460,left_cw0,734400081.8516864,860544081.8516864,left_cw0,1460.0
7.534016460713911,7.465570191035608,4.7308974475249475,2.7346727435106604,0,0,,500.0,"571968081.851686,615168081.851686",500,0rev_cw0,571968081.8516864,615168081.8516864,0rev_cw0,500.0
7.5506411109028395,7.4657677365017445,4.523021674570809,2.942746061930935,0,0,,620.0,"191808081.851686,245376081.851686",620,0rev_cw1,191808081.8516864,245376081.8516864,0rev_cw1,620.0
7.551415063858213,7.466541689457118,4.433766353816168,3.0327753356409506,0,0,,620.0,"1728081.8516864,55296081.8516864",620,0rev_cw0,1728081.8516864013,55296081.8516864,0rev_cw0,620.0
7.833363555436632,7.469229400748063,4.435862024229076,3.033367376518987,0,0,,2660.0,"537408081.851686,767232081.851686",2660,left_cw0,537408081.8516864,767232081.8516864,left_cw0,2660.0
7.8188196888273644,7.471112638861587,4.737693604808786,2.7334190340528006,0,0,,2540.0,"381888081.851686,601344081.851686",2540,left_cw0,381888081.8516864,601344081.8516865,left_cw0,2540.0
7.65489899072675,7.4714629879888985,4.468121900559616,3.0033410874292823,0,0,,1340.0,"216000081.851686,331776081.851686",1340,left_cw0,216000081.8516864,331776081.85168636,left_cw0,1340.0
7.676703195483647,7.476840088023003,4.41369552465553,3.0631445633674734,0,0,,1460.0,"561600081.851686,687744081.851686",1460,left_cw1,561600081.8516864,687744081.8516864,left_cw1,1460.0
