cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_JOOL_et_s,leg1_path,leg1_tof_days
7.887454732653859,7.813532761401293,4.752087556178611,3.061445205222682,0,0,,540.0,"278208081.851686,324864081.851686",540,0rev_cw1,278208081.8516864,324864081.8516864,0rev_cw1,540.0
7.911534978227117,7.821185902251758,4.806264000006104,3.014921902245654,0,0,,660.0,"934848081.851686,991872081.851686",660,0rev_cw1,934848081.8516864,991872081.8516864,0rev_cw1,660.0
7.916108527763507,7.825759451788148,4.808749581123792,3.017009870664356,0,0,,660.0,"917568081.851686,974592081.851686",660,0rev_cw1,917568081.8516864,974592081.8516864,0rev_cw1,660.0
7.921118841946489,7.83076976597113,4.571310924228113,3.2594588417430175,0,0,,660.0,"174528081.851686,231552081.851686",660,0rev_cw0,174528081.8516864,231552081.8516864,0rev_cw0,660.0
7.899546796474535,7.831100526796233,5.030671363827673,2.8004291629685603,0,0,,500.0,"606528081.851686,649728081.851686",500,0rev_cw0,606528081.8516864,649728081.8516864,0rev_cw0,500.0
7.912002583080106,7.832604910253275,4.576238447003421,3.2563664632498543,0,0,,580.0,"692928081.851686,743040081.851686",580,0rev_cw1,692928081.8516864,743040081.8516864,0rev_cw1,580.0
7.918612062554603,7.833738688153508,4.557590012956083,3.2761486751974247,0,0,,620.0,"520128081.851686,573696081.851686",620,0rev_cw1,520128081.8516864,573696081.8516865,0rev_cw1,620.0
7.92570354038148,7.835354464406121,4.749032624490078,3.0863218399160433,0,0,,660.0,"727488081.851686,784512081.851686",660,0rev_cw1,727488081.8516864,784512081.8516864,0rev_cw1,660.0
7.9050294612599075,7.836583191581605,5.035375737284629,2.8012074542969754,0,0,,500.0,"779328081.851686,822528081.851686",500,0rev_cw0,779328081.8516864,822528081.8516864,0rev_cw0,500.0
7.905704508668535,7.837258238990232,5.003672125290618,2.833586113699614,0,0,,500.0,"537408081.851686,580608081.851686",500,0rev_cw1,537408081.8516864,580608081.8516864,0rev_cw1,500.0
7.910457760384906,7.842011490706604,4.947992131108947,2.894019359597656,0,0,,500.0,"623808081.851686,667008081.851686",500,0rev_cw1,623808081.8516864,667008081.8516864,0rev_cw1,500.0
7.917063141793548,7.848616872115246,4.913983281692702,2.934633590422543,0,0,,500.0,"451008081.851686,494208081.851686",500,0rev_cw1,451008081.8516864,494208081.8516864,0rev_cw1,500.0
7.928264585398535,7.8488669125717045,4.494103605093926,3.3547633074777785,0,0,,580.0,"831168081.851686,881280081.851686",580,0rev_cw1,831168081.8516864,881280081.8516864,0rev_cw1,580.0
7.93967059710651,7.8493215211311504,4.791275071553496,3.0580464495776547,0,0,,660.0,"762048081.851686,819072081.851686",660,0rev_cw1,762048081.8516864,819072081.8516864,0rev_cw1,660.0
7.920161165844977,7.8517148961666745,5.002179180393446,2.849535715773228,0,0,,500.0,"796608081.851686,839808081.851686",500,0rev_cw1,796608081.8516864,839808081.8516864,0rev_cw1,500.0
7.944562583542538,7.854213507567179,4.702594955703656,3.1516185518635234,0,0,,660.0,"779328081.851686,836352081.851686",660,0rev_cw1,779328081.8516864,836352081.8516864,0rev_cw1,660.0
