cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_EVE_et_s,event2_JOOL_et_s,leg1_path,leg1_tof_days,leg2_path,leg2_tof_days,flyby1_EVE_vinf_in_km_s,flyby1_EVE_vinf_out_km_s,flyby1_EVE_vinf_mismatch_km_s,flyby1_EVE_turn_required_deg,flyby1_EVE_turn_max_deg,flyby1_EVE_turn_margin_deg,flyby1_EVE_turn_excess_deg
151.04267738846565,8.973667235835707,4.772068807875231,3.2486567344444675,0.9529416935160082,0.0,1.1670255583161802,760.0,"530496081.851686,552960081.851686,596160081.851686","260,500","left_cw0,0rev_cw0",530496081.8516864,552960081.8516865,596160081.8516865,left_cw0,260.0,0rev_cw0,500.0,5.317775199956395,6.270716893472403,0.9529416935160082,51.54527493106408,52.71230048938026,1.1670255583161802,0.0
150.52182232040641,9.52582051410104,5.329808077943204,3.2509403782279698,0.9450720579298668,0.0,1.6643593320544652,1560.0,"290304081.851686,302400081.851686,425088081.851686","140,1420","0rev_cw0,left_cw1",290304081.8516864,302400081.8516864,425088081.8516864,0rev_cw0,140.0,left_cw1,1420.0,6.166159373639678,7.111231431569545,0.9450720579298668,42.77855975080557,44.44291908286003,1.6643593320544652,0.0
151.6085788273367,9.5949308038702,4.7629754631634995,3.880005499527029,0.9519498411796725,0.0,3.1166739999046476,1720.0,"1728081.8516864,24192081.8516864,150336081.851686","260,1460","left_cw0,left_cw0",1728081.8516864013,24192081.851686403,150336081.85168642,left_cw0,260.0,left_cw0,1460.0,5.610676184119821,6.562626025299494,0.9519498411796725,46.526664235827766,49.64333823573241,3.1166739999046476,0.0
139.71387597315484,9.628294817263624,4.715068942097354,4.040650053926808,0.8725758212394616,0.0,2.1602970924069673,840.0,"806976081.851686,829440081.851686,879552081.851686","260,580","left_cw0,0rev_cw0",806976081.8516864,829440081.8516864,879552081.8516864,left_cw0,260.0,0rev_cw0,580.0,5.699340662087807,6.571916483327269,0.8725758212394616,46.991253432451536,49.15155052485851,2.1602970924069673,0.0
154.41094353382758,10.167651284660991,5.266647865167647,3.933886392596959,0.9671170268963847,0.0,4.356211225692231,1680.0,"554688081.851686,577152081.851686,699840081.851686","260,1420","left_cw0,left_cw0",554688081.8516864,577152081.8516864,699840081.8516864,left_cw0,260.0,left_cw0,1420.0,6.45332631345787,7.420443340354255,0.9671170268963847,37.568518438521295,41.92472966421352,4.356211225692231,0.0
