cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_KERBIN_et_s,event2_JOOL_et_s,leg1_path,leg1_tof_days,leg2_path,leg2_tof_days,flyby1_KERBIN_vinf_in_km_s,flyby1_KERBIN_vinf_out_km_s,flyby1_KERBIN_vinf_mismatch_km_s,flyby1_KERBIN_turn_required_deg,flyby1_KERBIN_turn_max_deg,flyby1_KERBIN_turn_margin_deg,flyby1_KERBIN_turn_excess_deg
7.892064420549173,7.248718757129434,4.499343418922029,2.745180693488305,0.00419464471910036,0.0,16.437186546921772,1595.0,"632448081.851686,727056081.851686,770256081.851686","1095,500","left_cw1,0rev_cw0",632448081.8516864,727056081.8516864,770256081.8516864,left_cw1,1095.0,0rev_cw0,500.0,4.500313718736776,4.496119074017676,0.00419464471910036,33.839181828743335,50.27636837566511,16.437186546921772,0.0
12.74449068926948,7.292383000524155,4.384155892173304,2.872751134216848,0.03547597413400272,0.0,12.742270473176651,2675.0,"1728081.8516864,96336081.8516864,232848081.851686","1095,1580","left_cw1,left_cw0",1728081.8516864013,96336081.8516864,232848081.85168642,left_cw1,1095.0,left_cw0,1580.0,4.384525043061053,4.420001017195056,0.03547597413400272,38.8757575546891,51.618028027865755,12.742270473176651,0.0
13.140458452648522,7.31031717330025,4.541556541522134,2.730018952019229,0.038741679758887315,0.0,6.5366569440313596,1376.0,"651456081.851686,727142481.851686,770342481.851686","876,500","left_cw1,0rev_cw0",651456081.8516864,727142481.8516864,770342481.8516864,left_cw1,876.0,0rev_cw0,500.0,4.5167555286806635,4.478013848921776,0.038741679758887315,43.751150580857285,50.28780752488864,6.5366569440313596,0.0
8.58014469550935,7.310565877304375,4.541556541522134,2.760447329188443,0.008562006593798799,0.0,12.387489306501498,1416.0,"651456081.851686,727142481.851686,773798481.851686","876,540","left_cw1,0rev_cw1",651456081.8516864,727142481.8516864,773798481.8516864,left_cw1,876.0,0rev_cw1,540.0,4.5167555286806635,4.525317535274462,0.008562006593798799,37.57629404375072,49.96378335025222,12.387489306501498,0.0
10.552295610860304,7.317012963730785,4.5514371842356915,2.744254854177608,0.021320925317485084,0.0,6.768753045235596,1416.0,"478656081.851686,554342481.851686,600998481.851686","876,540","left_cw1,0rev_cw1",478656081.8516864,554342481.8516865,600998481.8516865,left_cw1,876.0,0rev_cw1,540.0,4.510995236488405,4.53231616180589,0.021320925317485084,43.186583379840755,49.955336425076354,6.768753045235596,0.0
16.63687772329753,7.340953686872769,4.550953888933184,2.7292678733916516,0.06073192454793386,0.0,4.193254815147029,2416.0,"746496081.851686,822182481.851686,955238481.851686","876,1540","left_cw1,left_cw1",746496081.8516864,822182481.8516864,955238481.8516864,left_cw1,876.0,left_cw1,1540.0,4.514115756949633,4.453383832401699,0.06073192454793386,46.28255391559364,50.47580873074067,4.193254815147029,0.0
10.936420351851737,7.351169088118902,4.550953888933184,2.7770672583328793,0.023147940852839,0.0,10.662416380876172,2456.0,"746496081.851686,822182481.851686,958694481.851686","876,1580","left_cw1,left_cw1",746496081.8516864,822182481.8516864,958694481.8516864,left_cw1,876.0,left_cw1,1580.0,4.514115756949633,4.537263697802472,0.023147940852839,39.237930423943766,49.90034680481994,10.662416380876172,0.0
19.681139980542365,7.362388519568842,4.499343418922029,2.7805287774312055,0.0825163232156072,0.0,23.0636521313406,1635.0,"632448081.851686,727056081.851686,773712081.851686","1095,540","left_cw1,0rev_cw1",632448081.8516864,727056081.8516864,773712081.8516864,left_cw1,1095.0,0rev_cw1,540.0,4.500313718736776,4.582830041952383,0.0825163232156072,26.62094100943524,49.68459314077584,23.0636521313406,0.0
34.06172229068303,7.364866678761559,4.185409478457267,3.000071443334407,0.1793857569698849,0.0,32.64074533373289,1230.0,"404352081.851686,467424081.851686,510624081.851686","730,500","0rev_cw1,0rev_cw1",404352081.8516864,467424081.8516864,510624081.8516864,0rev_cw1,730.0,0rev_cw1,500.0,4.193137058557236,4.3725228155271205,0.1793857569698849,20.710667045828487,53.351412379561374,32.64074533373289,0.0
18.333150108112232,7.381088836450576,4.550375900627514,2.758183928375355,0.07252900744770674,0.0,2.4300336887798832,1416.0,"115776081.851686,191462481.851686,238118481.851686","876,540","left_cw1,0rev_cw1",115776081.8516864,191462481.85168642,238118481.85168642,left_cw1,876.0,0rev_cw1,540.0,4.514445834746703,4.441916827298996,0.07252900744770674,48.12280946457863,50.552843153358516,2.4300336887798832,0.0
